username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HillaryClinton;2016-02-09 14:51;663;1858;"Say “Hillary”! pic.twitter.com/Wv9oqaiX5e";;;;"697160858099650561";https://twitter.com/HillaryClinton/status/697160858099650561
HillaryClinton;2016-02-09 10:03;851;1122;"It's New Hampshire Primary Day! If you're with Hillary, let her know why by tweeting #ImWithHer . pic.twitter.com/pej94l8M3A";;;#ImWithHer;"697088393377902592";https://twitter.com/HillaryClinton/status/697088393377902592
HillaryClinton;2016-02-09 09:01;1056;1261;"Granite Staters, today's your day. RT this to remind everyone voting today why we need Hillary in the White House. pic.twitter.com/O7ian6LdnR";;;;"697072732547076096";https://twitter.com/HillaryClinton/status/697072732547076096
HillaryClinton;2016-02-09 08:05;655;1375;"They're counting on you, New Hampshire. Go vote! https:// amp.twimg.com/v/e7cc2355-c3e a-4de2-9f4f-3d6e7e9e20fe …";;;;"697058841528111105";https://twitter.com/HillaryClinton/status/697058841528111105
HillaryClinton;2016-02-09 06:30;655;1650;"Good morning, New Hampshire! See you at the polls. pic.twitter.com/LXQelTC3XX";;;;"697034785269661696";https://twitter.com/HillaryClinton/status/697034785269661696
HillaryClinton;2016-02-08 21:50;685;1671;""She's never stopped fighting for children." 4 people explain why they canvass for Hillary: http:// hrc.io/23TMS0i pic.twitter.com/DFeNmlq8V1";;;;"696903874125254656";https://twitter.com/HillaryClinton/status/696903874125254656
HillaryClinton;2016-02-08 20:06;790;2130;""I will get up every day and do everything I can to make a real difference for you, your families, and our country." —Hillary in NH";;;;"696877876260532225";https://twitter.com/HillaryClinton/status/696877876260532225
HillaryClinton;2016-02-08 19:49;663;1534;""It's not enough for a president to stop bad things from happening...I think it's important to try to start good things." —Hillary in NH";;;;"696873437122449412";https://twitter.com/HillaryClinton/status/696873437122449412
HillaryClinton;2016-02-08 17:54;874;1697;"America's opportunity gap is not just about economic inequality. It is also about racial inequality, and we need to tackle both together.";;;;"696844515479519232";https://twitter.com/HillaryClinton/status/696844515479519232
HillaryClinton;2016-02-08 16:06;684;1300;""I am here because for nearly two years, Flint's water was poisoned." https:// amp.twimg.com/v/6ed63f9b-1e5 3-48d8-9973-80b4b7a47098 …";;;;"696817282463322113";https://twitter.com/HillaryClinton/status/696817282463322113
HillaryClinton;2016-02-08 09:25;2961;1444;"Sending warmest wishes to everyone celebrating the Lunar New Year! May you have peace and prosperity in the year ahead. -H";;;;"696716488628117504";https://twitter.com/HillaryClinton/status/696716488628117504
HillaryClinton;2016-02-08 08:07;802;2026;"This is it: Your last chance to say you're with Hillary before the New Hampshire primary! Commit today: http:// hrc.io/1VWYfyO";;;;"696696798967156737";https://twitter.com/HillaryClinton/status/696696798967156737
HillaryClinton;2016-02-07 16:18;715;1425;"“You deserve justice, and you deserve equality under the law.” https:// amp.twimg.com/v/33cc3fa5-79f 2-425c-9dd3-48626ab414ef …";;;;"696458117765201920";https://twitter.com/HillaryClinton/status/696458117765201920
HillaryClinton;2016-02-07 14:18;1391;2771;""The children of Flint are just as precious as the children of any other part of America." —Hillary in Flint today pic.twitter.com/JlvflCyOYg";;;;"696427737775472642";https://twitter.com/HillaryClinton/status/696427737775472642
HillaryClinton;2016-02-07 13:42;972;1765;"“Do not grow weary doing good. Do not get discouraged. Do not give up.” —Hillary in Flint https:// amp.twimg.com/v/82b816a9-4c7 2-4ee8-9d75-013e9a2ab618 …";;;;"696418760278683648";https://twitter.com/HillaryClinton/status/696418760278683648
HillaryClinton;2016-02-07 13:15;791;1457;""This is not merely unacceptable or wrong, though it is both. What happened in Flint is immoral." https:// amp.twimg.com/v/676e0ce2-1c5 f-4ab2-9245-f73072af4601 …";;;;"696412008971763712";https://twitter.com/HillaryClinton/status/696412008971763712
HillaryClinton;2016-02-07 13:03;602;1172;""Clean water is not optional. It is not a luxury." —Hillary in Flint, MI. Watch live: http:// hrc.io/1SX0LFW";;;;"696408934270242816";https://twitter.com/HillaryClinton/status/696408934270242816
HillaryClinton;2016-02-07 12:54;1145;2237;"Civil rights activist Fannie Lou Hamer dedicated her life to securing voting rights & ending racial injustice. #BHM pic.twitter.com/dQYPhqA1vD";;;#BHM;"696406595442515969";https://twitter.com/HillaryClinton/status/696406595442515969
HillaryClinton;2016-02-07 08:18;610;1520;"Thousands of people are saying #ImWithHer before the New Hampshire primary! Don't miss your chance: http:// hrc.io/1VWY9al";;;#ImWithHer;"696337160945975296";https://twitter.com/HillaryClinton/status/696337160945975296
HillaryClinton;2016-02-06 21:44;1213;3251;"Only reaction to #GOPdebate ? Bring it on. pic.twitter.com/GifU4CEhIM";;;#GOPdebate;"696177630199083008";https://twitter.com/HillaryClinton/status/696177630199083008
HillaryClinton;2016-02-06 20:59;3488;6351;". @RealDonaldTrump : “I’m the last person she wants to run against." #GOPdebate pic.twitter.com/g0RM1pwbKk";;@RealDonaldTrump;#GOPdebate;"696166430245527553";https://twitter.com/HillaryClinton/status/696166430245527553
HillaryClinton;2016-02-06 19:58;1229;2366;"When Republican candidates describe deporting millions of immigrants & repealing the ACA as "leadership." #GOPdebate pic.twitter.com/8SfzUrYTYX";;;#GOPdebate;"696151083643703296";https://twitter.com/HillaryClinton/status/696151083643703296
HillaryClinton;2016-02-06 19:47;1649;3813;"Confirmed. #GOPdebate pic.twitter.com/z7dcm8n5cX";;;#GOPdebate;"696148121903108096";https://twitter.com/HillaryClinton/status/696148121903108096
HillaryClinton;2016-02-06 19:17;1329;3004;"Here we go. #GOPdebate pic.twitter.com/nc5zEljR23";;;#GOPdebate;"696140660177555456";https://twitter.com/HillaryClinton/status/696140660177555456
HillaryClinton;2016-02-06 17:35;754;1840;"Well done, @NYGovCuomo . LGBT kids don't need to be "cured" of anything. https:// twitter.com/NYGovCuomo/sta tus/696020683894161408 …";;@NYGovCuomo;;"696115051812487168";https://twitter.com/HillaryClinton/status/696115051812487168
HillaryClinton;2016-02-06 11:31;860;1614;"A moment backstage in Manchester, NH: "I'm taking care of my mom, she has Alzheimer's." https:// amp.twimg.com/v/07d6316b-eac 1-4188-88dd-d3ad26092249 …";;;;"696023384568700928";https://twitter.com/HillaryClinton/status/696023384568700928
HillaryClinton;2016-02-05 21:50;777;2208;"You should never have to choose between your family & your paycheck. Proud of all we accomplished with #FMLA23 —next, paid leave for all. -H";;;#FMLA23;"695816747048398848";https://twitter.com/HillaryClinton/status/695816747048398848
HillaryClinton;2016-02-05 21:01;912;2096;""I’m a progressive who likes to get things done. And I’ve learned that you have to be both a dreamer and a doer." —Hillary in NH";;;;"695804396689584130";https://twitter.com/HillaryClinton/status/695804396689584130
HillaryClinton;2016-02-05 20:54;881;2325;""Sen. Sanders & I share big, progressive goals for our country—but I believe I’ve laid out stronger plans for how to achieve them." —Hillary";;;;"695802677696073728";https://twitter.com/HillaryClinton/status/695802677696073728
HillaryClinton;2016-02-05 20:48;700;1482;""We also need to break barriers of racism, sexism, discrimination against LGBT Americans, immigrants, & people with disabilities." —Hillary";;;;"695801168824508416";https://twitter.com/HillaryClinton/status/695801168824508416
HillaryClinton;2016-02-05 19:00;532;2221;"Dedication. pic.twitter.com/Gyi5RZdAkk";;;;"695774072098136064";https://twitter.com/HillaryClinton/status/695774072098136064
HillaryClinton;2016-02-05 18:21;1481;2367;". @BernieSanders I won't cut Social Security. As always, I'll defend it, & I'll expand it. Enough false innuendos. http:// hrc.io/socialsecurity -H";;@BernieSanders;;"695764254855733248";https://twitter.com/HillaryClinton/status/695764254855733248
HillaryClinton;2016-02-05 14:16;934;1507;"“If the kids in a rich suburb of Detroit had been drinking contaminated water, there would have been action.” https:// amp.twimg.com/v/b51cf494-97d d-462e-a901-c280049d684d …";;;;"695702667742478336";https://twitter.com/HillaryClinton/status/695702667742478336
HillaryClinton;2016-02-05 13:22;937;2110;"My heart is with @SybrinaFulton on Trayvon's birthday. Today I'm carrying the memories of his life she shared with me. -H";;@SybrinaFulton;;"695689074921885696";https://twitter.com/HillaryClinton/status/695689074921885696
HillaryClinton;2016-02-05 11:47;1524;2453;"In 1968, Shirley Chisholm became the first African American woman elected to Congress. #BlackHistoryMonth pic.twitter.com/wOmHRbORpw";;;#BlackHistoryMonth;"695665019820888064";https://twitter.com/HillaryClinton/status/695665019820888064
HillaryClinton;2016-02-04 22:09;2206;3394;"Share this if you agree. #DemDebate pic.twitter.com/PImohjJgO3";;;#DemDebate;"695459206313472000";https://twitter.com/HillaryClinton/status/695459206313472000
HillaryClinton;2016-02-04 21:56;742;1506;"There is no place in America for second-class citizenship. #DemDebate pic.twitter.com/00Oz8md48G";;;#DemDebate;"695455950392709121";https://twitter.com/HillaryClinton/status/695455950392709121
HillaryClinton;2016-02-04 21:52;860;1753;"There are more Flints out there—overwhelmingly low-income communities of color. This is unconscionable. #DemDebate";;;#DemDebate;"695454990069035008";https://twitter.com/HillaryClinton/status/695454990069035008
HillaryClinton;2016-02-04 21:44;718;1571;""This. Is. An. Emergency." —Hillary calling for action on the Flint water crisis #DemDebate";;;#DemDebate;"695452827913572352";https://twitter.com/HillaryClinton/status/695452827913572352
HillaryClinton;2016-02-04 21:33;1192;2463;"No questions on this at #DemDebate , but a reminder: women deserve a champion in the White House. pic.twitter.com/QEtLUH2twa";;;#DemDebate;"695450203868954629";https://twitter.com/HillaryClinton/status/695450203868954629
HillaryClinton;2016-02-04 21:16;682;1785;"There is only one person who is ready to be commander in chief on stage at the #DemDebate .";;;#DemDebate;"695445837296480256";https://twitter.com/HillaryClinton/status/695445837296480256
HillaryClinton;2016-02-04 21:10;969;2048;"The president doesn't get to choose what issues come to her desk. Navigating foreign policy challenges is part of the job. #DemDebate";;;#DemDebate;"695444302869057537";https://twitter.com/HillaryClinton/status/695444302869057537
HillaryClinton;2016-02-04 21:06;702;1666;"The president is also the commander in chief. Only one candidate has the experience, judgment, and plans to keep us safe. #DemDebate";;;#DemDebate;"695443310744240129";https://twitter.com/HillaryClinton/status/695443310744240129
HillaryClinton;2016-02-04 21:01;704;1543;"Talking about a vote in 2002 is not a plan to defeat the threat of terrorism we face today. #DemDebate";;;#DemDebate;"695442138281041920";https://twitter.com/HillaryClinton/status/695442138281041920
HillaryClinton;2016-02-04 20:39;885;1702;""I'm fighting for people who cannot wait for [change]. And I'm not making promises that I cannot keep." #DemDebate https:// amp.twimg.com/v/ec49ca9f-f59 f-4da3-b7ff-99d94f06a5f9 …";;;#DemDebate;"695436667398725632";https://twitter.com/HillaryClinton/status/695436667398725632
HillaryClinton;2016-02-04 20:19;841;1742;""I'm a progressive who gets things done. Cherry-picking a quote here or there doesn't change my record." —Hillary #DemDebate";;;#DemDebate;"695431440620650497";https://twitter.com/HillaryClinton/status/695431440620650497
HillaryClinton;2016-02-04 20:14;837;1501;"If we're going to get into labels, it wasn't very progressive to vote against the Brady Bill five times, and immigration reform. #DemDebate";;;#DemDebate;"695430320485629952";https://twitter.com/HillaryClinton/status/695430320485629952
HillaryClinton;2016-02-04 20:12;1936;3261;"This shouldn't be a debate about labels—it should be about making progress. Share this if you agree. #DemDebate pic.twitter.com/l5NC4DX6Bv";;;#DemDebate;"695429834768449536";https://twitter.com/HillaryClinton/status/695429834768449536
HillaryClinton;2016-02-04 20:11;914;1933;"Health care should be a human right. We should build on the Affordable Care Act—not start over. #DemDebate pic.twitter.com/MWKGC87yRQ";;;#DemDebate;"695429603754553344";https://twitter.com/HillaryClinton/status/695429603754553344
HillaryClinton;2016-02-04 20:03;1747;1840;"RT if you're cheering on Hillary tonight. #DemDebate pic.twitter.com/VkOwanPMtx";;;#DemDebate;"695427552957968386";https://twitter.com/HillaryClinton/status/695427552957968386
HillaryClinton;2016-02-04 15:51;820;1861;"Amen. https:// twitter.com/senwarren/stat us/695326631100080128 …";;;;"695364002570874885";https://twitter.com/HillaryClinton/status/695364002570874885
HillaryClinton;2016-02-04 07:13;947;1980;"“Practice the discipline of gratitude.” Hillary on faith, humility, and living a life of service. #DemTownHall https:// amp.twimg.com/v/619785b4-493 6-4982-946b-0bbfda5d5bbb …";;;#DemTownHall;"695233669909204993";https://twitter.com/HillaryClinton/status/695233669909204993
HillaryClinton;2016-02-03 22:06;692;1670;"We can dream big and fight for progressive values—AND make a real difference in Americans' lives. That is what we will do. #DemTownHall";;;#DemTownHall;"695096030145208320";https://twitter.com/HillaryClinton/status/695096030145208320
HillaryClinton;2016-02-03 22:05;890;2168;"We have more to do for equality. We're going to fight for LGBT rights, women's rights, voting rights, workers' rights—and more. #DemTownHall";;;#DemTownHall;"695095748413755392";https://twitter.com/HillaryClinton/status/695095748413755392
HillaryClinton;2016-02-03 22:00;1107;2514;"It is absolutely unconscionable to lose 33,000 Americans a year to gun violence. We are going to take on the gun lobby. #DemTownHall";;;#DemTownHall;"695094625976127488";https://twitter.com/HillaryClinton/status/695094625976127488
HillaryClinton;2016-02-03 21:53;767;1765;""I am somebody who actually wants to produce real results in people's lives. I am a progressive who gets results." —Hillary #DemTownHall";;;#DemTownHall;"695092834504941572";https://twitter.com/HillaryClinton/status/695092834504941572
HillaryClinton;2016-02-03 21:52;865;2037;"We need to fix our criminal justice system and address substance use disorders. Prison is not a substitute for treatment. #DemTownHall";;;#DemTownHall;"695092432929701892";https://twitter.com/HillaryClinton/status/695092432929701892
HillaryClinton;2016-02-03 21:42;790;1632;""No bank is too big to fail. No executive is too big to jail." —Hillary #DemTownHall";;;#DemTownHall;"695089991702204416";https://twitter.com/HillaryClinton/status/695089991702204416
HillaryClinton;2016-02-03 21:26;739;1764;"Hillary on facing years of politically motivated attacks: "I’m still standing and I will be standing." #DemTownHall";;;#DemTownHall;"695086025660579840";https://twitter.com/HillaryClinton/status/695086025660579840
HillaryClinton;2016-02-03 21:23;721;1811;"#DemTownHall Q: "How are you going to defend yourself against right-wing attacks?" Hillary: "I've had a lot of practice."";;;#DemTownHall;"695085202243248128";https://twitter.com/HillaryClinton/status/695085202243248128
HillaryClinton;2016-02-03 21:11;1035;2392;"We have to protect the gains we've made on LGBT rights and women's rights—and do more to expand them. That's what's at stake. #DemTownHall";;;#DemTownHall;"695082251650994176";https://twitter.com/HillaryClinton/status/695082251650994176
HillaryClinton;2016-02-03 21:07;1025;2153;""They don't have to be for me. I will be for them." —Hillary on voters who might not support her. #DemTownHall";;;#DemTownHall;"695081216496779264";https://twitter.com/HillaryClinton/status/695081216496779264
HillaryClinton;2016-02-03 19:45;1229;2597;"We can’t afford to start over when it comes to the Affordable Care Act and mental health services. https:// amp.twimg.com/v/b2f23c38-963 d-4724-9281-b87be8f153e5 …";;;;"695060627702689795";https://twitter.com/HillaryClinton/status/695060627702689795
HillaryClinton;2016-02-03 15:49;1629;2670;"4) Hillary's not running to make a point—she's running to make a difference. She'll keep doing that. Please feel free to keep tweeting.";;;;"695001261087842305";https://twitter.com/HillaryClinton/status/695001261087842305
HillaryClinton;2016-02-03 15:48;1287;2135;"3) An important part of being a progressive is making progress. From health care to fighting inequality, Hillary's record speaks for itself.";;;;"695000926390738948";https://twitter.com/HillaryClinton/status/695000926390738948
HillaryClinton;2016-02-03 15:47;1863;2089;"2) Now, if you do want to make it about who's a "real progressive," @BernieSanders , what were you on these days? pic.twitter.com/8Q6hANYPhh";;@BernieSanders;;"695000617308274689";https://twitter.com/HillaryClinton/status/695000617308274689
HillaryClinton;2016-02-03 15:45;2386;4471;"1) This shouldn't be a debate about who gets to define "progressive"—it should be about who will get real results for American families.";;;;"695000118655844352";https://twitter.com/HillaryClinton/status/695000118655844352
HillaryClinton;2016-02-03 13:39;1389;2382;". @BernieSanders says Hillary’s been a progressive “some days.” Hillary responds: https:// amp.twimg.com/v/f7b3b71f-ab2 c-47ed-9d2b-52f556212b8d …";;@BernieSanders;;"694968463622668288";https://twitter.com/HillaryClinton/status/694968463622668288
HillaryClinton;2016-02-03 09:30;1037;2493;"The middle class needs a raise, not a tax increase. Families should be able to save, build, and get ahead.";;;;"694905815157882880";https://twitter.com/HillaryClinton/status/694905815157882880
HillaryClinton;2016-02-02 22:21;3662;4237;"RT if you are, too. pic.twitter.com/4Xu3issMlN";;;;"694737486157869056";https://twitter.com/HillaryClinton/status/694737486157869056
HillaryClinton;2016-02-02 20:41;1231;2772;"With her historic win at the Iowa caucuses, Hillary just accomplished what no woman ever has before. http:// hrc.io/20ooNj1";;;;"694712263735910400";https://twitter.com/HillaryClinton/status/694712263735910400
HillaryClinton;2016-02-02 16:10;1579;3604;"Hillary just became the first woman ever to win the #IowaCaucus . http:// hrc.io/1Sr8Yng";;;#IowaCaucus;"694643994844909569";https://twitter.com/HillaryClinton/status/694643994844909569
HillaryClinton;2016-02-02 11:39;2925;8317;"Text CONGRATS to 47246 to tell Hillary you'll be by her side for the next part of this campaign. pic.twitter.com/FHoAPFiji8";;;;"694575943931797505";https://twitter.com/HillaryClinton/status/694575943931797505
HillaryClinton;2016-02-02 11:26;1195;2505;"No matter who you are, what you look like, what faith you practice, or who you love: She’s fighting for you. https:// amp.twimg.com/v/8ca5ff1c-330 7-4a03-8d06-a03c15b9c111 …";;;;"694572597191639041";https://twitter.com/HillaryClinton/status/694572597191639041
HillaryClinton;2016-02-02 08:38;1907;4367;"History: made. #IowaCaucus pic.twitter.com/ADAxUi5oU7";;;#IowaCaucus;"694530447020290049";https://twitter.com/HillaryClinton/status/694530447020290049
HillaryClinton;2016-02-01 23:14;1091;3567;"Are you with Hillary? Let her know: http:// hrc.io/1P29PGO";;;;"694388278548656128";https://twitter.com/HillaryClinton/status/694388278548656128
HillaryClinton;2016-02-01 23:05;1394;4415;"So grateful to everyone who gives your all to support this campaign. You made this possible. pic.twitter.com/gk58CeS3vF";;;;"694386200392683520";https://twitter.com/HillaryClinton/status/694386200392683520
HillaryClinton;2016-02-01 22:53;2687;6786;"From the bottom of my heart: Thank you, Iowa. -H pic.twitter.com/ptMgfAPFMJ";;;;"694383123702882304";https://twitter.com/HillaryClinton/status/694383123702882304
HillaryClinton;2016-02-01 22:39;8036;7852;"RT if you're on her side all the way to the White House. #ImWithHer pic.twitter.com/999MCSDGsF";;;#ImWithHer;"694379667730649088";https://twitter.com/HillaryClinton/status/694379667730649088
HillaryClinton;2016-02-01 22:36;1603;3615;""I will keep doing what I’ve done my entire life. I will keep standing up for you. I will keep fighting for you." —Hillary";;;;"694378891138437121";https://twitter.com/HillaryClinton/status/694378891138437121
HillaryClinton;2016-02-01 22:35;966;2124;""I will not let [Republicans'] divisiveness—their efforts to rip away the progress we’ve made—be successful." —Hillary";;;;"694378686104084480";https://twitter.com/HillaryClinton/status/694378686104084480
HillaryClinton;2016-02-01 22:32;2116;4117;"“I know we can protect our rights: women’s rights, gay rights, voting rights, immigrants' rights, workers' rights.” —Hillary";;;;"694377850334527488";https://twitter.com/HillaryClinton/status/694377850334527488
HillaryClinton;2016-02-01 22:31;963;2315;""I know that we can make college affordable and get student debt off the backs of young people." —Hillary";;;;"694377694818074625";https://twitter.com/HillaryClinton/status/694377694818074625
HillaryClinton;2016-02-01 22:31;1052;2371;""I know that we can finish the job of universal health care coverage for every single man, woman, and child." —Hillary";;;;"694377539364593665";https://twitter.com/HillaryClinton/status/694377539364593665
HillaryClinton;2016-02-01 22:29;985;3103;""To the families and friends of this state—I am deeply grateful." —Hillary in Iowa";;;;"694377179443040256";https://twitter.com/HillaryClinton/status/694377179443040256
HillaryClinton;2016-02-01 18:23;632;1678;"Tonight, Iowans will officially start the process of choosing our next president—and may even make history while they're at it.";;;;"694315133800153090";https://twitter.com/HillaryClinton/status/694315133800153090
HillaryClinton;2016-02-01 17:06;1025;1374;"Know an Iowan who’s not sure who they’re caucusing for tonight? Retweet this: pic.twitter.com/VfZeZiLKzX";;;;"694295698725060608";https://twitter.com/HillaryClinton/status/694295698725060608
HillaryClinton;2016-02-01 14:59;718;1601;"A few moments with @billclinton behind the scenes in Iowa. https:// amp.twimg.com/v/8cdb5831-aec c-4468-a109-92edca456ea9 …";;@billclinton;;"694263870328741888";https://twitter.com/HillaryClinton/status/694263870328741888
HillaryClinton;2016-02-01 14:07;653;1319;""You're entitled to give these remarks the love discount—but everything I've told you, I believe with all my heart." https:// amp.twimg.com/v/435623eb-8e3 c-49a5-ae9e-fd4292418047 …";;;;"694250692676968448";https://twitter.com/HillaryClinton/status/694250692676968448
HillaryClinton;2016-02-01 12:18;833;1515;"Hillary is "one of the finest Secretary of States we've had." — @POTUS https:// amp.twimg.com/v/f6376598-f34 d-4313-b143-b8dcceedd717 …";;@POTUS;;"694223294401114112";https://twitter.com/HillaryClinton/status/694223294401114112
HillaryClinton;2016-02-01 11:15;2204;2354;"This is it—the #IowaCaucus is today! If you’re standing with Hillary, RT to say #ImWithHer . pic.twitter.com/O1p1ecbnLs";;;#IowaCaucus #ImWithHer;"694207462094798849";https://twitter.com/HillaryClinton/status/694207462094798849
HillaryClinton;2016-02-01 10:27;3174;3948;"This #BlackHistoryMonth , we honor those who sacrificed for equality & fought for justice, and we recognize those who carry on the legacy. -H";;;#BlackHistoryMonth;"694195375670976512";https://twitter.com/HillaryClinton/status/694195375670976512
HillaryClinton;2016-02-01 09:34;673;1443;"The Force is strong with this one. http:// hrc.io/20iOdhQ pic.twitter.com/FOMFXZTNzx";;;;"694182123373215745";https://twitter.com/HillaryClinton/status/694182123373215745
HillaryClinton;2016-02-01 09:01;3154;6095;"Today is the #IAcaucus ! RT to say #ImWithHer , and make sure your friends and family know where to caucus at 6:30 pm: http:// thndr.me/hcDsji";;;#IAcaucus #ImWithHer;"694173676535693312";https://twitter.com/HillaryClinton/status/694173676535693312
HillaryClinton;2016-02-01 08:12;1098;1970;"It's #IAcaucus day! If you're standing with Hillary, let her know why by tweeting with #ImWithHer . pic.twitter.com/v8oqbV86zz";;;#IAcaucus #ImWithHer;"694161426882105344";https://twitter.com/HillaryClinton/status/694161426882105344
HillaryClinton;2016-01-31 22:10;1351;3435;"From the first roundtable in April to the final rally before the caucuses. Let's make history, Iowa. pic.twitter.com/UMbLgnqtx5";;;;"694009853543587841";https://twitter.com/HillaryClinton/status/694009853543587841
HillaryClinton;2016-01-31 17:38;785;1525;""What I believe a president has to do is to really listen to what's on the minds of our people." https:// amp.twimg.com/v/cd655b0f-c7a 2-4710-b63e-ab8cfd897b56 …";;;;"693941389768265728";https://twitter.com/HillaryClinton/status/693941389768265728
