username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JebBush;2016-02-09 15:12;94;193;"In June, I pledged to run with heart & run to win. Honored to have shared my optimistic message with New Hampshire. https:// amp.twimg.com/v/273c0d14-3e2 6-4826-b4de-7d5dd2660d5b …";;;;"697166300150263808";https://twitter.com/JebBush/status/697166300150263808
JebBush;2016-02-09 11:55;87;246;"Allison arrived undecided, but 5 minutes before entering one of Bedford's voting booths she made the right decision https:// amp.twimg.com/v/799270af-a4b 1-49b8-ba03-1acd91b016ba …";;;;"697116674982412288";https://twitter.com/JebBush/status/697116674982412288
JebBush;2016-02-09 05:45;154;448;"Closing my time in New Hampshire the same way I began: giving it my all, speaking to every voter and being true to what I believe.";;;;"697023399378419716";https://twitter.com/JebBush/status/697023399378419716
JebBush;2016-02-08 20:36;114;210;"NEW VIDEO: Tomorrow New Hampshire votes for who they want as Commander-in-Chief and I hope you’ll stand with me. https:// amp.twimg.com/v/e6590bb1-786 1-4990-a11e-33d216d6d53b …";;;;"696885441941770242";https://twitter.com/JebBush/status/696885441941770242
JebBush;2016-02-08 17:31;187;526;"I vetoed $2 billion in spending, cut taxes by $19 billion, created 1.3 million new jobs & balanced 8 budgets. That’s a conservative record.";;;;"696838710139219968";https://twitter.com/JebBush/status/696838710139219968
JebBush;2016-02-08 16:36;87;264;"I refuse to accept the “new normal” of 2% growth. My plan will create millions of new high-paying jobs every year. pic.twitter.com/6DaqxulJhw";;;;"696825044752793600";https://twitter.com/JebBush/status/696825044752793600
JebBush;2016-02-08 11:05;113;168;"NEW VIDEO: @JohnKasich and I served as governors, but when you match our records there’s no comparison. https:// amp.twimg.com/v/42976702-769 3-4a59-9b01-99a86a05f8f3 …";;@JohnKasich;;"696741562399653888";https://twitter.com/JebBush/status/696741562399653888
JebBush;2016-02-08 09:30;2783;4416;". @realDonaldTrump , you aren’t just a loser, you are a liar and a whiner. John McCain is a hero. Over and out.";;@realDonaldTrump;;"696717836824244228";https://twitter.com/JebBush/status/696717836824244228
JebBush;2016-02-08 08:44;134;319;"I will restore our country’s legacy as the world’s leading economic & military power, an obligation @POTUS ignored. pic.twitter.com/uVyr5KJ7jC";;@POTUS;;"696706288970022912";https://twitter.com/JebBush/status/696706288970022912
JebBush;2016-02-07 21:22;332;940;"Congrats on the Super Bowl victory Peyton. The steady hand prevails! #ThanksPeyton #GoBroncos";;;#ThanksPeyton #GoBroncos;"696534596515663872";https://twitter.com/JebBush/status/696534596515663872
JebBush;2016-02-07 16:55;149;400;"Pulling for another Super Bowl win for my friend Peyton Manning tonight. Go Broncos! https:// amp.twimg.com/v/56af92ff-5a3 1-436a-85a9-988355a6e3ed …";;;;"696467426062442496";https://twitter.com/JebBush/status/696467426062442496
JebBush;2016-02-07 15:47;171;335;". @realDonaldTrump chose his own personal gains over protecting an elderly widow’s home. WATCH: https:// amp.twimg.com/v/e088b60c-ea1 1-4a4e-81bd-b42caf523c4b …";;@realDonaldTrump;;"696450187334561792";https://twitter.com/JebBush/status/696450187334561792
JebBush;2016-02-07 11:47;85;309;"Another packed town hall in Salem this morning. Thank you all for coming pic.twitter.com/Jtvgoin8Hq";;;;"696389859343233024";https://twitter.com/JebBush/status/696389859343233024
JebBush;2016-02-07 09:45;146;230;"NEW VIDEO: Last night we saw the difference between the talkers & the leaders https:// amp.twimg.com/v/05111702-b30 b-4093-b071-754116767261 …";;;;"696359040692031488";https://twitter.com/JebBush/status/696359040692031488
JebBush;2016-02-06 22:25;402;732;"The most tweeted moment of tonight's #GOPDebate https:// amp.twimg.com/v/ce2c95c0-420 e-495a-a8a0-4a103aa70bed …";;;#GOPDebate;"696188038825705472";https://twitter.com/JebBush/status/696188038825705472
JebBush;2016-02-06 21:59;151;410;"I ask for your support to keep America safer, stronger and freer. #GOPDebate https:// amp.twimg.com/v/c25d20c5-d66 b-4c6b-b59d-6a1385178c6e …";;;#GOPDebate;"696181398504222721";https://twitter.com/JebBush/status/696181398504222721
JebBush;2016-02-06 21:35;127;365;"Under Jeb's leadership, Florida created the nation's 1st "Choose Life" license plates. #GOPDebate pic.twitter.com/e7DkrbUoAX";;;#GOPDebate;"696175328180506625";https://twitter.com/JebBush/status/696175328180506625
JebBush;2016-02-06 21:30;88;256;"I'm the most pro-life candidate on stage. I acted on it for 8 years as governor of Florida. #GOPDebate";;;#GOPDebate;"696174100335747072";https://twitter.com/JebBush/status/696174100335747072
JebBush;2016-02-06 21:24;180;369;"Tough Night Donald. #GOPDebate https:// twitter.com/kmanguward/sta tus/696154169472737280 …";;;#GOPDebate;"696172746380804097";https://twitter.com/JebBush/status/696172746380804097
JebBush;2016-02-06 21:22;104;262;"The sheer incompetence at the VA is outrageous. @HillaryClinton ignores it. I'll fix it. #GOPDebate";;@HillaryClinton;#GOPDebate;"696172043042164736";https://twitter.com/JebBush/status/696172043042164736
JebBush;2016-02-06 21:04;130;325;"Nobody else will challenge Donald's domain. I did. I will. #GOPDebate #eminentdomain";;;#GOPDebate #eminentdomain;"696167652222324737";https://twitter.com/JebBush/status/696167652222324737
JebBush;2016-02-06 20:50;125;260;"The state capitals should be the source of reform & innovation in this country, not DC. #GOPDebate";;;#GOPDebate;"696164066059030528";https://twitter.com/JebBush/status/696164066059030528
JebBush;2016-02-06 20:48;185;378;"Donald getting a lesson on conservatism tonight.";;;;"696163473915518976";https://twitter.com/JebBush/status/696163473915518976
JebBush;2016-02-06 20:44;90;251;"Closing Guantanamo is a complete disaster. As president, I will keep us safe. #GOPDebate";;;#GOPDebate;"696162556789051392";https://twitter.com/JebBush/status/696162556789051392
JebBush;2016-02-06 20:32;83;187;"Jeb is the only candidate with a comprehensive strategy to defeat ISIS & restore US leadership. #GOPDebate pic.twitter.com/1z3gprRYrv";;;#GOPDebate;"696159563398168580";https://twitter.com/JebBush/status/696159563398168580
JebBush;2016-02-06 20:28;109;180;"Jeb cut more taxes than all the other governors on stage combined. #GOPDebate pic.twitter.com/LilKznsjty";;;#GOPDebate;"696158446635380736";https://twitter.com/JebBush/status/696158446635380736
JebBush;2016-02-06 20:11;372;461;"Its not tough to take an elderly woman's home @realDonaldTrump . #GOPDebate pic.twitter.com/lnqkemi5DN";;@realDonaldTrump;#GOPDebate;"696154358883426304";https://twitter.com/JebBush/status/696154358883426304
JebBush;2016-02-06 20:01;75;217;"Jeb has a proven record of leadership. #GOPDebate https:// amp.twimg.com/v/d2949857-a7b 2-4aea-a47f-1103ccd6ac3c …";;;#GOPDebate;"696151718074056704";https://twitter.com/JebBush/status/696151718074056704
JebBush;2016-02-06 19:44;71;174;"When we pull back, voids are filled. Next president has to get America back in the game. #GOPDebate";;;#GOPDebate;"696147543890198528";https://twitter.com/JebBush/status/696147543890198528
JebBush;2016-02-06 19:40;200;299;"Take a look at Jeb’s record as a conservative reformer vs @MarcoRubio ’s record as a do-nothing senator. #GOPDebate pic.twitter.com/xQd2jm66D6";;@MarcoRubio;#GOPDebate;"696146524812800000";https://twitter.com/JebBush/status/696146524812800000
JebBush;2016-02-06 19:37;127;240;"Jeb has the support of 12 Medal of Honor recipients who know that he’s ready to be Commander-in-Chief. #GOPDebate pic.twitter.com/lDrZIKSTZS";;;#GOPDebate;"696145851794792448";https://twitter.com/JebBush/status/696145851794792448
JebBush;2016-02-06 17:25;80;213;"Mom couldn’t make it out to knock doors today, but that didn’t stop her from talking to New Hampshire voters https:// amp.twimg.com/v/2caf1351-305 3-4443-90bc-b6b9fcdcfc94 …";;;;"696112548181966849";https://twitter.com/JebBush/status/696112548181966849
JebBush;2016-02-06 16:10;326;525;"A consistent conservative record of accomplishments vs. …nothing? pic.twitter.com/KjyKXLP2q4";;;;"696093611633614848";https://twitter.com/JebBush/status/696093611633614848
