username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JohnKasich;2016-02-09 17:23;90;212;"Here we go America: to S. Carolina, through the South, to Michigan & the Midwest, to the nomination & White House. https:// amp.twimg.com/v/22ce1d55-0a8 b-40a9-82c0-b8f71aa30c07 …";;;;"697199058029379584";https://twitter.com/JohnKasich/status/697199058029379584
JohnKasich;2016-02-09 17:04;42;140;"Less than an hour until the polls close, New Hampshire! If you haven't yet voted, get out and vote for @JohnKasich ! pic.twitter.com/cP0QC4YaFj";;@JohnKasich;;"697194322303840256";https://twitter.com/JohnKasich/status/697194322303840256
JohnKasich;2016-02-09 15:46;87;180;"POTUS is not an entry-level job. There's no substitute for executive experience & no one has more than @JohnKasich . https:// amp.twimg.com/v/a4c9da5d-72d a-4499-9854-971de4c21fc4 …";;@JohnKasich;;"697174650267172864";https://twitter.com/JohnKasich/status/697174650267172864
JohnKasich;2016-02-09 15:32;59;149;"Results over rhetoric. That's the Kasich way. #Kasich4Us #fitn pic.twitter.com/mnvX29zu9O";;;#Kasich4Us #fitn;"697171115236524032";https://twitter.com/JohnKasich/status/697171115236524032
JohnKasich;2016-02-09 15:27;61;120;". @JohnKasich has 18 yrs of nat'l security experience. The other GOP candidates have 0-5 yrs. Experience matters. https:// amp.twimg.com/v/af122488-5b2 c-4fbc-ace7-69d32fc9b6b1 …";;@JohnKasich;;"697169882660499456";https://twitter.com/JohnKasich/status/697169882660499456
JohnKasich;2016-02-09 14:10;64;144;"No Republican has EVER won the White House w/o winning Ohio. Let's nominate someone who can deliver. #fitn https:// amp.twimg.com/v/83e8272e-a10 8-4084-b54c-115e65d8f4fb …";;;#fitn;"697150588199436288";https://twitter.com/JohnKasich/status/697150588199436288
JohnKasich;2016-02-09 13:24;58;139;"It's our time to come together as a country. New Hampshire, it's your time to vote for a leader who makes it happen. https:// amp.twimg.com/v/cf4ad4d6-5a0 0-46e1-861c-8ed92c06042b …";;;;"697139146729459712";https://twitter.com/JohnKasich/status/697139146729459712
JohnKasich;2016-02-09 11:33;77;216;"Looking for a Reagan conservative? You've found one: @JohnKasich . https:// johnkasich.com/resultsnow/ pic.twitter.com/WZU8w0CSyc";;@JohnKasich;;"697111020809101312";https://twitter.com/JohnKasich/status/697111020809101312
JohnKasich;2016-02-09 11:09;27;119;"Whatever happens tonight, we have no regrets. It's been an incredible ride, New Hampshire. https:// twitter.com/CNNPolitics/st atus/697102009212792833 …";;;;"697104968424280064";https://twitter.com/JohnKasich/status/697104968424280064
JohnKasich;2016-02-09 10:58;27;121;"Shout out to Ernie from PA, who's made 10,000 calls for @JohnKasich ! #Kasich4Us #fitn pic.twitter.com/ZJJogbuom8";;@JohnKasich;#Kasich4Us #fitn;"697102267015680005";https://twitter.com/JohnKasich/status/697102267015680005
JohnKasich;2016-02-09 10:42;57;138;"New Hampshire, there's a better way. Now is your time to vote for a leader who's about lifting up, not cutting down. https:// amp.twimg.com/v/862ee538-30c d-4732-81b6-6dd31784a5ef …";;;;"697098140021751810";https://twitter.com/JohnKasich/status/697098140021751810
JohnKasich;2016-02-09 10:28;61;137;"New Hampshire's newspapers (+ @BostonGlobe ) are rooting for @JohnKasich today! #Kasich4Us #fitn pic.twitter.com/pwAvumptA2";;@BostonGlobe @JohnKasich;#Kasich4Us #fitn;"697094615179120643";https://twitter.com/JohnKasich/status/697094615179120643
JohnKasich;2016-02-09 10:03;49;165;"There seems to be some media interest in @JohnKasich today. pic.twitter.com/Z8igHxvtg9";;@JohnKasich;;"697088564316803073";https://twitter.com/JohnKasich/status/697088564316803073
JohnKasich;2016-02-09 09:51;70;190;"Dixville Notch knows how to pick a winner! #NewHampshirePrimary https:// twitter.com/RobertVHiggs/s tatus/697083501737332736 …";;;#NewHampshirePrimary;"697085352595582976";https://twitter.com/JohnKasich/status/697085352595582976
JohnKasich;2016-02-09 09:30;21;105;"THANK YOU to our volunteers who have worked tirelessly to get out the vote for @JohnKasich when it counts! #fitn pic.twitter.com/rEKrzUHmVM";;@JohnKasich;#fitn;"697080257321500672";https://twitter.com/JohnKasich/status/697080257321500672
JohnKasich;2016-02-09 07:48;41;144;"Gov @JohnKasich & @KarenKasich visiting polling locations this morning in NH - Vote Kasich! #Kasich4Us #FITN pic.twitter.com/uwNnJid9qv";;@JohnKasich @KarenKasich;#Kasich4Us #FITN;"697054393699606528";https://twitter.com/JohnKasich/status/697054393699606528
JohnKasich;2016-02-09 06:00;87;192;"Polls are now open in New Hampshire! VOTE KASICH! #Kasich4Us #FITN pic.twitter.com/pytoYDh3ON";;;#Kasich4Us #FITN;"697027258553397248";https://twitter.com/JohnKasich/status/697027258553397248
JohnKasich;2016-02-08 23:07;385;604;"Early momentum as @JohnKasich wins GOP vote in Dixville Notch! Let's keep it going, New Hampshire. pic.twitter.com/CtXnCn9c4Z";;@JohnKasich;;"696923329719046149";https://twitter.com/JohnKasich/status/696923329719046149
JohnKasich;2016-02-08 21:06;85;145;"It's Election Eve in New Hampshire & not even a blizzard can keep the crowd away! #Kasich4Us pic.twitter.com/taGvUjCwz3";;;#Kasich4Us;"696892827633061888";https://twitter.com/JohnKasich/status/696892827633061888
JohnKasich;2016-02-08 14:51;52;137;"America needs a leader who's prepared to lead on Day One. pic.twitter.com/b6dfWT6SzH";;;;"696798545609936896";https://twitter.com/JohnKasich/status/696798545609936896
JohnKasich;2016-02-08 13:59;85;135;"No contest. pic.twitter.com/rzdvYWY3qk";;;;"696785400795439104";https://twitter.com/JohnKasich/status/696785400795439104
JohnKasich;2016-02-08 12:46;45;105;"Under Kasich, Ohio state gov't shrunk to its lowest level in 30+ years, all while improving service. It CAN be done. pic.twitter.com/8POMyLPgWD";;;;"696767195242573824";https://twitter.com/JohnKasich/status/696767195242573824
JohnKasich;2016-02-08 11:12;26;92;"New Hampshire, you've been wonderful. All we ask now is that you get out and vote for @JohnKasich tomorrow! pic.twitter.com/QQ2qa0W5Tq";;@JohnKasich;;"696743311005057024";https://twitter.com/JohnKasich/status/696743311005057024
JohnKasich;2016-02-08 09:15;104;203;"The polls are saying the same thing: @JohnKasich is surging at the perfect time in New Hampshire! #nhpolitics pic.twitter.com/rd2SwzltaA";;@JohnKasich;#nhpolitics;"696714095383412736";https://twitter.com/JohnKasich/status/696714095383412736
JohnKasich;2016-02-07 17:06;71;125;"Another amazing crowd in Concord, NH as @JohnKasich covers everything from rebuilding our military to cutting taxes. pic.twitter.com/kiz8gG5bnk";;@JohnKasich;;"696470071200370690";https://twitter.com/JohnKasich/status/696470071200370690
JohnKasich;2016-02-07 13:26;129;207;"The day after @JohnKasich 's outstanding #GOPDebate performance, he's drawing a incredible crowd in Nashua, NH! #fitn pic.twitter.com/oOATWK06gR";;@JohnKasich;#GOPDebate #fitn;"696414749387530240";https://twitter.com/JohnKasich/status/696414749387530240
JohnKasich;2016-02-07 12:29;78;169;"The consensus is clear: @JohnKasich knocked it out of the park at last night's #GOPDebate in New Hampshire! #fitn https:// amp.twimg.com/v/952cfc7f-f4f d-49b5-8f1f-76d686a1af49 …";;@JohnKasich;#GOPDebate #fitn;"696400347909091328";https://twitter.com/JohnKasich/status/696400347909091328
JohnKasich;2016-02-07 11:58;45;106;"Our volunteers have New Hampshire covered today! 2 more days! #KasichGroundGame pic.twitter.com/igjJYeKMlx";;;#KasichGroundGame;"696392520859807748";https://twitter.com/JohnKasich/status/696392520859807748
JohnKasich;2016-02-06 22:18;37;140;"Without a doubt, we have the best ground game in New Hampshire. Thanks to our hundreds of volunteers! https:// twitter.com/MichaelPHartle y/status/696124025739874304 …";;;;"696186311581966336";https://twitter.com/JohnKasich/status/696186311581966336
JohnKasich;2016-02-06 21:53;192;399;""Kasich may have gained most." - @LarrySabato "Winner is John Kasich" - @hughhewitt "Kasich on fire." - @JoeNBC #GOPDebate";;@LarrySabato @hughhewitt @JoeNBC;#GOPDebate;"696180031354044416";https://twitter.com/JohnKasich/status/696180031354044416
JohnKasich;2016-02-06 21:43;127;301;"John Kasich nailed it tonight. Join the team! http:// JohnKasich.com #GOPDebate pic.twitter.com/Hlh55C0FQS";;;#GOPDebate;"696177557826199552";https://twitter.com/JohnKasich/status/696177557826199552
JohnKasich;2016-02-06 21:36;40;124;""There has never been a governor in the state of Ohio as pro-life as John Kasich.” -Ohio Right to Life President Mike Gonidakis";;;;"696175690714972160";https://twitter.com/JohnKasich/status/696175690714972160
JohnKasich;2016-02-06 21:18;35;99;"The right ideas should help everybody rise. #GOPDebate https:// twitter.com/NewsHour/statu s/696155257131438080 …";;;#GOPDebate;"696171025470361600";https://twitter.com/JohnKasich/status/696171025470361600
JohnKasich;2016-02-06 21:16;52;132;"Our nation's veterans EARNED the best care anywhere. John Kasich can make it happen. #GOPDebate pic.twitter.com/fIhAJ8BUYQ";;;#GOPDebate;"696170601283608576";https://twitter.com/JohnKasich/status/696170601283608576
