username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RealBenCarson;2016-02-09 16:29;704;2305;"As President, I will fervently defend the Constitution, and ensure that the government serves the people and not the other way around.";;;;"697185474633293824";https://twitter.com/RealBenCarson/status/697185474633293824
RealBenCarson;2016-02-09 10:30;398;1226;"As Commander-in-Chief, I will ensure that our military is equipped and authorized to defeat and destroy global terrorism.";;;;"697095321059512320";https://twitter.com/RealBenCarson/status/697095321059512320
RealBenCarson;2016-02-09 07:23;263;857;"Polls are open in #FITN New Hampshire Primary. I will be a President that will keep the promises that I have made! #BC2DC16";;;#FITN #BC2DC16;"697048185005420544";https://twitter.com/RealBenCarson/status/697048185005420544
RealBenCarson;2016-02-08 17:43;398;1284;"School choice leads to healthy competition among schools to provide the best educational atmosphere for all students to learn.";;;;"696841834908225537";https://twitter.com/RealBenCarson/status/696841834908225537
RealBenCarson;2016-02-08 07:33;554;1399;"We wouldn't be a free country if it wasn't for our veterans who protect and serve this nation. They deserve better. https:// amp.twimg.com/v/7c0725dc-681 d-4ccb-944c-b5992e0e3a1b …";;;;"696688383595139072";https://twitter.com/RealBenCarson/status/696688383595139072
RealBenCarson;2016-02-07 17:03;189;1067;"Best of luck to the Broncos and the Panthers in the #SuperBowl tonight. Looking forward to a great game!";;;#SuperBowl;"696469247334060032";https://twitter.com/RealBenCarson/status/696469247334060032
RealBenCarson;2016-02-07 15:01;620;1954;"I am committed to protecting innocent life, especially when it is most vulnerable. The sanctity of life is something that we must defend.";;;;"696438559457161217";https://twitter.com/RealBenCarson/status/696438559457161217
RealBenCarson;2016-02-07 13:33;407;1000;"When has the United States ever not sent people to help our own people? That is not who we are. https:// amp.twimg.com/v/35a1a4a3-a94 d-41eb-97d7-d61d5918a707 …";;;;"696416517055868929";https://twitter.com/RealBenCarson/status/696416517055868929
RealBenCarson;2016-02-07 13:02;1164;2698;"The existence of an organization like Planned Parenthood is proof that we have become numb to the horrors perpetrated against innocent life.";;;;"696408612646719488";https://twitter.com/RealBenCarson/status/696408612646719488
RealBenCarson;2016-02-07 10:33;402;1380;"My faith has been such an important part of my life, and I pray that it will continue to be a part of our nation. http:// crsn.co/faithcoalition";;;;"696371100746289152";https://twitter.com/RealBenCarson/status/696371100746289152
RealBenCarson;2016-02-07 08:29;805;2543;"Therefore, my dear brothers and sisters, stand firm. Let nothing move you. Always give yourselves fully to the work of the Lord.";;;;"696339903232081920";https://twitter.com/RealBenCarson/status/696339903232081920
RealBenCarson;2016-02-06 21:33;575;1895;"I am a candidate that will stand on the side of integrity and honesty instead of on the side of the "Washington Way".";;;;"696174969382903808";https://twitter.com/RealBenCarson/status/696174969382903808
RealBenCarson;2016-02-06 20:40;316;862;"I would consult with top military minds to create proactive ways to seek out and destroy #ISIS . Read my plan here: http:// crsn.co/DefeatISIS";;;#ISIS;"696161490735394816";https://twitter.com/RealBenCarson/status/696161490735394816
RealBenCarson;2016-02-06 20:27;503;1453;"I believe in the Constitution and empowering We the People -- not capitulating to special interest groups and the political elite.";;;;"696158410304315392";https://twitter.com/RealBenCarson/status/696158410304315392
RealBenCarson;2016-02-06 18:45;1023;3521;"Lord, use me as your vessel. Give me the words to say and allow me to speak the truth boldly. Let your will be done through me.";;;;"696132542479532032";https://twitter.com/RealBenCarson/status/696132542479532032
