username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SenTedCruz;2016-02-06 10:05;922;1629;"Happy Birthday President Ronald #Reagan . Thank you for your dedication and service to this nation. pic.twitter.com/Bv9QvZuELW";;;#Reagan;"696001817432498178";https://twitter.com/SenTedCruz/status/696001817432498178
SenTedCruz;2016-02-06 10:03;212;427;"Mourning the tragic loss of life in Taiwan this morning. America stands with her friend and ally. https:// twitter.com/ap/status/6957 23596300361728 …";;;;"696001385893117952";https://twitter.com/SenTedCruz/status/696001385893117952
SenTedCruz;2016-02-04 15:43;456;583;"We must continue to fight for a free and open internet. https:// twitter.com/SenTedCruz/sta tus/695361757632593920 …";;;;"695362060079595525";https://twitter.com/SenTedCruz/status/695362060079595525
SenTedCruz;2016-02-04 15:42;178;226;"Today @SenMikeLee @SenatorLankford & I demanded answers from @ICANN over complicity w/ Chinese censorship http:// 1.usa.gov/1KsUMHm";;@SenMikeLee @SenatorLankford @ICANN;;"695361757632593920";https://twitter.com/SenTedCruz/status/695361757632593920
SenTedCruz;2016-02-04 10:39;229;437;"Thank you @the_USO for the support you provide to our military and their families. Happy 75th Anniversary!";;@the_USO;;"695285457949736960";https://twitter.com/SenTedCruz/status/695285457949736960
SenTedCruz;2016-02-04 08:37;166;245;"Honored to work w / @RepHartzler @PeteOlson @LamarSmithTX21 @JohnCornyn to bring this #ProLife coalition together http:// 1.usa.gov/1nJ9u2z";;@RepHartzler @PeteOlson @LamarSmithTX21 @JohnCornyn;#ProLife;"695254891477000192";https://twitter.com/SenTedCruz/status/695254891477000192
SenTedCruz;2016-02-02 17:38;119;210;"I believe that the #freedom championed by Dr. Liu is possible for all the Chinese people. http:// 1.usa.gov/1X1vphD";;;#freedom;"694666305371291649";https://twitter.com/SenTedCruz/status/694666305371291649
SenTedCruz;2016-02-02 17:37;213;434;"USA should put Pres. Xi on notice - human rights are no longer ‘off the table.’ We are listening to the truth about communist #China .";;;#China;"694665916215357445";https://twitter.com/SenTedCruz/status/694665916215357445
SenTedCruz;2016-02-02 17:34;134;220;"Thank you @RepMarkMeadows for introducing House companion bill honoring Dr. Liu Xiaobo & Chinese dissidents http:// 1.usa.gov/1X1vphD";;@RepMarkMeadows;;"694665268275081220";https://twitter.com/SenTedCruz/status/694665268275081220
SenTedCruz;2016-02-02 17:28;627;1265;"#PlannedParenthood is morally bankrupt & must be defunded. I applaud the House for taking an important vote today to override @POTUS veto";;@POTUS;#PlannedParenthood;"694663630957236224";https://twitter.com/SenTedCruz/status/694663630957236224
SenTedCruz;2016-02-02 17:25;490;1014;"Every word of #Obamacare should be repealed. Proud of House GOP for listening to the American people & voting to override @POTUS veto.";;@POTUS;#Obamacare;"694663081499213824";https://twitter.com/SenTedCruz/status/694663081499213824
SenTedCruz;2016-02-02 17:25;327;676;"By voting for @POTUS veto override, my colleagues in the House are standing with millions of Americans who have lost jobs b/c of #Obamacare";;@POTUS;#Obamacare;"694662986410168321";https://twitter.com/SenTedCruz/status/694662986410168321
