username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2016-02-09 16:19;6076;18091;"We will stop heroin and other drugs from coming into New Hampshire from our open southern border. We will build a WALL and have security.";;;;"697183070357753862";https://twitter.com/realDonaldTrump/status/697183070357753862
realDonaldTrump;2016-02-09 16:15;4933;14677;"We will immediately repeal and replace ObamaCare - and nobody can do that like me. We will save $'s and have much better healthcare!";;;;"697182075045179392";https://twitter.com/realDonaldTrump/status/697182075045179392
realDonaldTrump;2016-02-09 15:40;7849;19922;"ISIS is making big threats today - no respect for U.S.A. or our "leader" - If I win it will be a very different story,with very fast results";;;;"697173206663213057";https://twitter.com/realDonaldTrump/status/697173206663213057
realDonaldTrump;2016-02-09 10:46;3714;10540;"New Hampshire vote today - MAKE AMERICA GREAT AGAIN!";;;;"697099208415903744";https://twitter.com/realDonaldTrump/status/697099208415903744
realDonaldTrump;2016-02-09 08:32;2508;6155;"A message to the great people of New Hampshire on this important day! #VoteTrumpNH Video: https://www. facebook.com/DonaldTrump/vi deos/10156623696310725/ … pic.twitter.com/9WwRWnvqiv";Manchester, NH;;#VoteTrumpNH;"697065472425123840";https://twitter.com/realDonaldTrump/status/697065472425123840
realDonaldTrump;2016-02-09 07:37;9096;15981;"MAKE AMERICA GREAT AGAIN!";;;;"697051619427397633";https://twitter.com/realDonaldTrump/status/697051619427397633
realDonaldTrump;2016-02-09 06:23;3863;11495;"The polls are now showing that I am the best to win the GENERAL ELECTION. States that are never in play for Repubs will be won by me. Great!";;;;"697033106608541697";https://twitter.com/realDonaldTrump/status/697033106608541697
realDonaldTrump;2016-02-09 06:16;2496;8002;"No-one has done more for people with disabilities than me. I have spent many millions of dollars to help out-and am happy to have done so!";;;;"697031343272812544";https://twitter.com/realDonaldTrump/status/697031343272812544
realDonaldTrump;2016-02-09 06:00;2096;5807;"Remember @JebBush wants COMMON CORE (education from D.C.) and is very weak on ILLEGAL IMMIGRATION ("come as act of love"). Not a leader!";;@JebBush;;"697027290820186112";https://twitter.com/realDonaldTrump/status/697027290820186112
realDonaldTrump;2016-02-08 22:06;2679;8428;"Thank you, New Hampshire! #FITN pic.twitter.com/uZItWkqQZa";;;#FITN;"696908121327980545";https://twitter.com/realDonaldTrump/status/696908121327980545
realDonaldTrump;2016-02-08 13:47;3501;9034;"Now that Bush has wasted $120 million of special interest money on his failed campaign, he says he would end super PACs. Sad!";;;;"696782375863394304";https://twitter.com/realDonaldTrump/status/696782375863394304
realDonaldTrump;2016-02-08 13:43;1611;5335;"Today's third stop- Londonderry, New Hampshire! Thank you! #FITN #VoteTrumpNH pic.twitter.com/pRpcxaZ7ov";Londonderry, NH;;#FITN #VoteTrumpNH;"696781378596302848";https://twitter.com/realDonaldTrump/status/696781378596302848
realDonaldTrump;2016-02-08 12:30;3363;9134;"America needs strong leadership. Politicians can talk but they don’t get things done. Video: https://www. facebook.com/DonaldTrump/vi deos/10156620333635725/ … pic.twitter.com/lBXXyuZAcO";New Hampshire, USA;;;"696763168178204672";https://twitter.com/realDonaldTrump/status/696763168178204672
realDonaldTrump;2016-02-08 10:38;3054;8464;"Everybody is laughing at Jeb Bush-spent $100 million and is at bottom of pack. A pathetic figure!";;;;"696734735578615808";https://twitter.com/realDonaldTrump/status/696734735578615808
realDonaldTrump;2016-02-08 10:33;2278;6732;"Jeb Bush is desperate - strongly in favor of #CommonCore and very weak on illegal immigration.";;;#CommonCore;"696733541313474566";https://twitter.com/realDonaldTrump/status/696733541313474566
realDonaldTrump;2016-02-08 10:29;1545;5310;"Thank you for your support at this mornings Town Hall- in Salem, New Hampshire. #FITN #NHPrimary pic.twitter.com/4m6dabtxCV";New Hampshire, USA;;#FITN #NHPrimary;"696732694135312386";https://twitter.com/realDonaldTrump/status/696732694135312386
realDonaldTrump;2016-02-08 06:20;3563;11439;"Jeb Bush has zero communication skills so he spent a fortune of special interest money on a Super Bowl ad. He is a weak candidate!";;;;"696669855416766467";https://twitter.com/realDonaldTrump/status/696669855416766467
realDonaldTrump;2016-02-07 20:03;15927;30826;"So far the Super Bowl is very boring - not nearly as exciting as politics - MAKE AMERICA GREAT AGAIN!";;;;"696514666843996160";https://twitter.com/realDonaldTrump/status/696514666843996160
realDonaldTrump;2016-02-07 14:20;2259;6519;"Thank you Newt! https:// twitter.com/newtgingrich/s tatus/696369599818772480 …";New Hampshire, USA;;;"696428451977433088";https://twitter.com/realDonaldTrump/status/696428451977433088
realDonaldTrump;2016-02-07 14:05;1768;4944;"We are going to have a big event at the Verizon Wireless Arena in Manchester, New Hampshire! 5K+! Join us tomorrow: https://www. eventbrite.com/e/donald-j-tru mp-in-manchester-nh-tickets-20922675285 …";New Hampshire, USA;;;"696424442717601792";https://twitter.com/realDonaldTrump/status/696424442717601792
realDonaldTrump;2016-02-07 10:29;1734;5328;"Great to meet everyone while having breakfast @ChezVachon this morning! #FITN #VoteTrumpNH https://www. facebook.com/DonaldTrump/po sts/10156616498145725:0 … pic.twitter.com/bmZvSmWe7Y";Manchester, NH;@ChezVachon;#FITN #VoteTrumpNH;"696370121154150400";https://twitter.com/realDonaldTrump/status/696370121154150400
realDonaldTrump;2016-02-07 04:51;2081;6237;"" @piersmorgan : Trump won that debate. People can huff & puff all they like but he was the best candidate on the night. #GOPDebate";;@piersmorgan;#GOPDebate;"696285038644764673";https://twitter.com/realDonaldTrump/status/696285038644764673
realDonaldTrump;2016-02-07 04:46;1504;5079;"" @newtgingrich : Trump shows courage in defending eminent domain as a necessity for construction of infrastructure"";;@newtgingrich;;"696283930069172224";https://twitter.com/realDonaldTrump/status/696283930069172224
realDonaldTrump;2016-02-07 04:44;1529;4954;"" @newtgingrich : Trump hits it out of the park in describing effective deal making"";;@newtgingrich;;"696283485741383680";https://twitter.com/realDonaldTrump/status/696283485741383680
realDonaldTrump;2016-02-07 00:27;3054;7514;"" @ABC :DonaldTrump: "The police in this country have done an unbelievable job of keeping law and order." #GOPDebate http:// snpy.tv/1SVfssV "";;@ABC;#GOPDebate;"696218684856074240";https://twitter.com/realDonaldTrump/status/696218684856074240
realDonaldTrump;2016-02-07 00:26;2417;6003;"" @ABCPolitics : . @realDonaldTrump dominating @Google searches throughout #GPLFers . pic.twitter.com/IF35C2jcon "";;@ABCPolitics @realDonaldTrump @Google;#GPLFers;"696218405825810432";https://twitter.com/realDonaldTrump/status/696218405825810432
realDonaldTrump;2016-02-06 18:14;2517;8058;"Come join us at the Verizon Wireless Center- Manchester, New Hampshire on 2/8! Register now: http:// trumpmanchesternh.eventbrite.com / pic.twitter.com/zjRpnoV2ih";;;;"696124722321481728";https://twitter.com/realDonaldTrump/status/696124722321481728
realDonaldTrump;2016-02-06 15:40;2207;8080;"I love New Hampshire - will be an exciting evening!";;;;"696085979560591360";https://twitter.com/realDonaldTrump/status/696085979560591360
realDonaldTrump;2016-02-06 13:41;1893;6080;"" @paintonmyjeans : If I owned a big company that was failing, I'd hire DonaldTrump to make it great again-Rubio/Cruz wouldnt be considered"";;@paintonmyjeans;;"696056207824580608";https://twitter.com/realDonaldTrump/status/696056207824580608
realDonaldTrump;2016-02-06 13:10;2155;5863;"" @big_carsonrocks : AMERICA...Stop being duped...WAKE UP Cruz & Rubio establishment phonies. DonaldTrump only truthful & not owned candidate"";;@big_carsonrocks;;"696048400081555456";https://twitter.com/realDonaldTrump/status/696048400081555456
realDonaldTrump;2016-02-06 11:57;2285;5655;"" @Enlighten2881 : @ukcatwoman52 @ericnlin @AC360 How come Rubio&Cruz are going to turn America around but did nothing in the Senate for USA?"";;@Enlighten2881 @ukcatwoman52 @ericnlin @AC360;;"696030020372930560";https://twitter.com/realDonaldTrump/status/696030020372930560
realDonaldTrump;2016-02-06 09:18;2641;6579;"The New Hampshire drug epidemic must stop. If elected POTUS- I will create borders & the drugs will stop pouring in. https://www. facebook.com/DonaldTrump/vi deos/10156610923070725/ …";;;;"695989902031331333";https://twitter.com/realDonaldTrump/status/695989902031331333
