username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
tedcruz;2016-02-09 16:13;505;602;". @votemeadows : @TedCruz is willing to fight on behalf of the American people #ChooseCruz http:// newhampshire.tedcruz.org https:// amp.twimg.com/v/391f8037-353 4-4f99-9985-eaf696d072d0 …";;@votemeadows @TedCruz;#ChooseCruz;"697181676460376064";https://twitter.com/tedcruz/status/697181676460376064
tedcruz;2016-02-08 16:21;532;601;"We’re bringing the message of liberty to the Live Free or Die State: http:// votetedcruz.com/nh/ #fitn #nhpolitics https:// amp.twimg.com/v/1754147b-142 7-4168-8623-b65f42a86e2d …";;;#fitn #nhpolitics;"696821077373165568";https://twitter.com/tedcruz/status/696821077373165568
tedcruz;2016-02-08 07:01;340;564;"New Hampshire: join us in Barrington, Raymond, or Manchester! RSVP here: https://www. tedcruz.org/events/ #fitn #nhpolitics pic.twitter.com/iYEi4C16BZ";;;#fitn #nhpolitics;"696680256816611328";https://twitter.com/tedcruz/status/696680256816611328
tedcruz;2016-02-07 11:43;484;729;"Let's defeat the #WashingtonCartel together: http:// tedcruz.org https:// twitter.com/paramedicsam/s tatus/696338741464428544 …";;;#WashingtonCartel;"696388777321893888";https://twitter.com/tedcruz/status/696388777321893888
tedcruz;2016-02-06 21:54;905;1389;"I will always stand with the American people against the bipartisan corruption of Washington http:// votetedcruz.com/nh/ https:// amp.twimg.com/v/30cfe5e3-f09 d-4048-a7e5-2ebf77a52b76 …";;;;"696180322703056896";https://twitter.com/tedcruz/status/696180322703056896
tedcruz;2016-02-06 21:45;936;1548;"Together, we can and WILL turn this country around and get back to the Constitution! #GOPDebate";;;#GOPDebate;"696177846406918145";https://twitter.com/tedcruz/status/696177846406918145
tedcruz;2016-02-06 21:33;1573;1551;"RT if you agree we need a president who will go after the terrorists rather than showing them weakness! #GOPDebate https:// amp.twimg.com/v/4ea0a868-ef7 b-44b4-964f-27cf334b61bb …";;;#GOPDebate;"696175038488117248";https://twitter.com/tedcruz/status/696175038488117248
tedcruz;2016-02-06 21:26;485;731;"Proper approach is a POTUS that defends this country & goes after terrorists rather than showing weakness #GOPDebate https:// twitter.com/tedcruz/status /696172728282316801 …";;;#GOPDebate;"696173044746747904";https://twitter.com/tedcruz/status/696173044746747904
tedcruz;2016-02-06 21:24;601;1034;"There is a reason it has been longstanding policy that we don’t negotiate with terrorists or pay ransoms #GOPDebate";;;#GOPDebate;"696172728282316801";https://twitter.com/tedcruz/status/696172728282316801
tedcruz;2016-02-06 20:51;768;1292;"As president, I’ll work with Congress to repeal Obamacare and pass a simple flat tax to #AbolishTheIRS ! #GOPDebate https:// amp.twimg.com/v/a90a8568-c56 2-4f23-b5d8-359999846d36 …";;;#AbolishTheIRS #GOPDebate;"696164412328013824";https://twitter.com/tedcruz/status/696164412328013824
tedcruz;2016-02-06 20:46;1226;1038;"RT if you want to pass a simple flat tax and #AbolishTheIRS ! #GOPDebate https:// cards.twitter.com/cards/dpgf3/15 p8f …";;;#AbolishTheIRS #GOPDebate;"696163096386076672";https://twitter.com/tedcruz/status/696163096386076672
tedcruz;2016-02-06 20:44;995;1795;"I have pledged on day one to rescind every single illegal and unconstitutional executive action Barack Obama has done! #GOPDebate";;;#GOPDebate;"696162484579794944";https://twitter.com/tedcruz/status/696162484579794944
tedcruz;2016-02-06 20:42;1520;1369;"RT if you agree we must allow our soldiers to do their jobs! #GOPDebate https:// amp.twimg.com/v/dfdbbe57-352 1-4d07-a2fd-20ed4e4cee93 …";;;#GOPDebate;"696162196254904320";https://twitter.com/tedcruz/status/696162196254904320
